period,company,yelp_avg_rating,normalized_yelp_avg_rating,yelp_no_of_reviews,yelp_5,percentage_yelp_5,yelp_4,yelp_3,yelp_2,yelp_1,glassdoor_avg_rating,normalized_glassdoor_avg_rating,glassdoor_no_of_reviews,glassdoor_5,percentage_glassdoor_5,glassdoor_4,glassdoor_3,glassdoor_2,glassdoor_1,months_after_stock_price,stock_price_change,price_increase_or_decrease
2018_2,Apple,2.6367713004484306,0.11413965710759674,0.6666666666666666,0.56,0.10534631380840632,0.2916666666666667,0.2962962962962963,0.5757575757575758,0.6111111111111112,3.941925262237758,0.5282404846589511,0.6541095890410958,0.7647058823529411,0.7195512820512822,0.5474137931034483,0.4864864864864865,0.5476190476190477,0.8461538461538461,190.289993,1.0,0
2018_3,Apple,2.556390977443609,0.08400895477126985,0.796969696969697,0.6,0.061221707117534795,0.4375,0.3333333333333333,0.7575757575757576,0.7444444444444445,3.9386624149474563,0.5248493150492339,0.7294520547945206,0.7794117647058824,0.6117900790797987,0.6939655172413793,0.5945945945945946,0.5714285714285714,0.6153846153846154,218.860001,1.0,0
2011_1,Apple,4.015151515151516,0.630827851468421,0.39090909090909093,0.52,0.34938765897315116,0.7291666666666666,0.2962962962962963,0.2727272727272727,0.07222222222222222,3.744696969696969,0.32325553368416754,0.09075342465753425,0.09803921568627451,0.6363636363636365,0.0603448275862069,0.08108108108108109,0.16666666666666666,0.11538461538461539,50.018570,1.0,0
2018_1,Apple,2.3322784810126582,0.0,0.9484848484848485,0.6,0.0007050567324719583,0.4583333333333333,0.37037037037037035,0.8181818181818182,1.0,3.8069157576118093,0.38792128232566286,0.7345890410958904,0.7745098039215687,0.5966446546492952,0.603448275862069,0.5855855855855856,1.0,0.9230769230769231,165.259995,1.0,0
2009_4,Apple,3.792452830188679,0.5473488663577967,0.15151515151515152,0.152,0.20226806139407572,0.2916666666666667,0.37037037037037035,0.06060606060606061,0.03333333333333333,3.6575520833333326,0.23268338488731682,0.05136986301369863,0.0392156862745098,0.3269230769230769,0.04310344827586207,0.06306306306306306,0.09523809523809523,0.038461538461538464,27.437143,1.0,0
2018_4,Apple,2.4468085106382977,0.04293177860225633,0.8454545454545455,0.592,0.03483629147833756,0.4166666666666667,0.4444444444444444,0.6060606060606061,0.8555555555555555,3.888560585826206,0.47277706489758525,0.6541095890410958,0.6519607843137255,0.5352564102564102,0.646551724137931,0.5495495495495496,0.35714285714285715,0.8846153846153846,166.440002,1.0,0
2011_4,Apple,3.5064102564102564,0.44012531557015544,0.4636363636363636,0.456,0.1784575528098844,0.75,0.48148148148148145,0.6363636363636364,0.15,3.851769911504425,0.43453947497057294,0.19006849315068494,0.23039215686274508,0.7685500340367597,0.11637931034482758,0.16216216216216217,0.35714285714285715,0.15384615384615385,65.211426,1.0,0
2019_3,Apple,2.434959349593496,0.03849010020349317,0.7363636363636363,0.536,0.04934917224819921,0.2708333333333333,0.4444444444444444,0.42424242424242425,0.7666666666666667,3.746429460083677,0.32505616001626503,0.8681506849315068,0.7990196078431373,0.45292428593017986,0.7155172413793104,0.990990990990991,1.0,1.0,248.759995,1.0,0
2019_2,Apple,2.83125,0.18704033214709365,0.47575757575757577,0.416,0.12467616580310885,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3888888888888889,3.920386936814039,0.5058550929680155,0.8304794520547946,0.8627450980392157,0.5798452061285737,0.7543103448275862,0.7837837837837838,0.6666666666666666,0.7307692307692307,213.039993,1.0,0
2019_1,Apple,2.560185185185185,0.08543122006941696,0.6454545454545455,0.48,0.05800230282095568,0.3333333333333333,0.37037037037037035,0.6363636363636364,0.5944444444444444,3.945827595137935,0.5322962897765896,0.7414383561643836,0.8578431372549019,0.7064544650751547,0.625,0.5945945945945946,0.7857142857142857,0.5384615384615384,200.669998,1.0,0
