period,company,yelp_avg_rating,normalized_yelp_avg_rating,yelp_no_of_reviews,yelp_5,percentage_yelp_5,yelp_4,yelp_3,yelp_2,yelp_1,glassdoor_avg_rating,normalized_glassdoor_avg_rating,glassdoor_no_of_reviews,glassdoor_5,percentage_glassdoor_5,glassdoor_4,glassdoor_3,glassdoor_2,glassdoor_1,months_after_stock_price,stock_price_change,price_increase_or_decrease
2018_2,Macys,2.5128205128205128,0.2564102564102564,0.5310344827586206,0.5945945945945946,0.7172161172161172,0.19230769230769232,0.17647058823529413,0.34615384615384615,0.5652173913043478,3.113681273848408,0.7808400993371107,0.3968432919954904,0.53,0.906884202148826,0.4110169491525424,0.32786885245901637,0.3333333333333333,0.4380952380952381,39.730000,1.0,0
2018_3,Macys,2.4823529411764707,0.24117647058823533,0.5793103448275863,0.5405405405405406,0.5983193277310924,0.3076923076923077,0.4117647058823529,0.3076923076923077,0.6086956521739131,3.1900882567112907,0.8718782065779921,0.4227733934611049,0.47,0.7557965594614809,0.5042372881355932,0.4,0.30409356725146197,0.34285714285714286,34.290001,1.0,0
2009_2,Macys,2.8518518518518516,0.4259259259259258,0.1793103448275862,0.10810810810810811,0.3767195767195767,0.19230769230769232,0.47058823529411764,0.11538461538461539,0.10144927536231885,2.589506172839507,0.15629104281586703,0.02254791431792559,0.02,0.45502645502645495,0.01694915254237288,0.003278688524590164,0.03508771929824561,0.0761904761904762,13.910000,1.0,0
2018_1,Macys,2.460526315789474,0.23026315789473695,0.5172413793103449,0.43243243243243246,0.5353383458646616,0.2692307692307692,0.35294117647058826,0.5384615384615384,0.4782608695652174,3.0573632686228085,0.713737795238524,0.5828635851183765,0.68,0.797164667393675,0.5466101694915254,0.5377049180327869,0.5672514619883041,0.5714285714285714,31.070000,1.0,0
2009_4,Macys,2.88,0.43999999999999995,0.16551724137931034,0.13513513513513514,0.5085714285714286,0.11538461538461539,0.35294117647058826,0.23076923076923078,0.07246376811594203,2.8065476190476195,0.41489361702127775,0.02367531003382187,0.02,0.43877551020408156,0.01694915254237288,0.019672131147540985,0.04093567251461988,0.02857142857142857,15.930000,1.0,0
2018_4,Macys,2.3968253968253967,0.19841269841269837,0.8620689655172413,0.7297297297297297,0.5448979591836735,0.5,0.4117647058823529,0.5769230769230769,0.927536231884058,3.1649950681387815,0.841979939342662,0.3686583990980834,0.51,0.9379811804961505,0.3898305084745763,0.3081967213114754,0.2982456140350877,0.38095238095238093,26.299999,1.0,0
2011_4,Macys,3.0,0.5,0.296551724137931,0.24324324324324326,0.5201298701298701,0.3076923076923077,0.6470588235294118,0.23076923076923078,0.14492753623188406,2.9166666666666665,0.5460992907801422,0.08229988726042842,0.07,0.5375,0.0847457627118644,0.05901639344262295,0.09941520467836257,0.11428571428571428,33.689999,1.0,0
2019_3,Macys,2.966292134831461,0.4831460674157304,0.6068965517241379,0.9459459459459459,1.0,0.23076923076923078,0.23529411764705882,0.34615384615384615,0.5072463768115942,3.0784853160211316,0.7389044900109941,0.3855693348365276,0.45,0.792058943921408,0.3728813559322034,0.3639344262295082,0.3157894736842105,0.42857142857142855,15.390000,1.0,0
2019_2,Macys,3.072289156626506,0.536144578313253,0.5655172413793104,0.7567567567567568,0.8578313253012048,0.46153846153846156,0.4117647058823529,0.38461538461538464,0.37681159420289856,3.080438277700527,0.7412314230758056,0.3833145434047351,0.46,0.8143268834911486,0.3771186440677966,0.3737704918032787,0.26900584795321636,0.4380952380952381,22.730000,1.0,0
2019_1,Macys,2.8636363636363638,0.4318181818181819,0.6,0.7567567567567568,0.8090909090909091,0.4230769230769231,0.35294117647058826,0.2692307692307692,0.5217391304347826,3.141367206974142,0.8138275941252192,0.38218714768883877,0.46,0.8166804293971923,0.4406779661016949,0.3180327868852459,0.3157894736842105,0.37142857142857144,23.540001,1.0,0
