period,company,yelp_avg_rating,normalized_yelp_avg_rating,yelp_no_of_reviews,yelp_5,percentage_yelp_5,yelp_4,yelp_3,yelp_2,yelp_1,glassdoor_avg_rating,normalized_glassdoor_avg_rating,glassdoor_no_of_reviews,glassdoor_5,percentage_glassdoor_5,glassdoor_4,glassdoor_3,glassdoor_2,glassdoor_1,months_after_stock_price,stock_price_change,price_increase_or_decrease
2018_2,McDonalds,1.64797507788162,0.21599169262720666,0.7804878048780488,0.8387096774193549,0.24299065420560748,0.5,0.6538461538461539,0.7948717948717948,0.7774086378737541,3.203941391492003,0.7165425587473251,0.6980864635010631,0.6382113821138211,0.6885964912280701,0.6810126582278481,0.6775599128540305,0.6473214285714286,0.7591240875912408,157.539993,1.0,0
2018_3,McDonalds,1.6447688564476886,0.21492295214922952,1.0,0.967741935483871,0.218978102189781,0.9230769230769231,0.6538461538461539,1.0,1.0,3.2923815073815073,0.7929907945162186,0.777462792345854,0.7560975609756098,0.7327272727272727,0.7822784810126582,0.8126361655773421,0.625,0.656934306569343,176.899994,1.0,0
2011_1,McDonalds,3.0246913580246915,0.6748971193415638,0.1951219512195122,0.45161290322580644,0.5185185185185185,0.7307692307692307,0.7692307692307693,0.28205128205128205,0.05647840531561462,3.089646464646464,0.6177452491011811,0.021261516654854713,0.016260162601626018,0.5252525252525252,0.012658227848101266,0.032679738562091505,0.017857142857142856,0.021897810218978103,78.309998,1.0,0
2018_1,McDonalds,1.7461538461538462,0.24871794871794872,0.6317073170731707,0.6774193548387096,0.24230769230769234,0.6923076923076923,0.6538461538461539,0.5641025641025641,0.6046511627906976,3.1845768228885123,0.6998036943612568,0.7618710134656272,0.6422764227642277,0.6351267779839208,0.6911392405063291,0.8191721132897604,0.7767857142857143,0.6934306569343066,167.440002,1.0,0
2009_4,McDonalds,2.935483870967742,0.6451612903225806,0.07317073170731707,0.16129032258064516,0.4838709677419355,0.23076923076923078,0.34615384615384615,0.10256410256410256,0.023255813953488372,2.5763888888888893,0.17408192090395522,0.010630758327427357,0.0040650406504065045,0.24074074074074073,0.002531645569620253,0.013071895424836602,0.022321428571428572,0.021897810218978103,62.430000,1.0,0
2018_4,McDonalds,1.7112462006079028,0.23708206686930092,0.8,1.0,0.2826747720364742,0.6153846153846154,0.7307692307692307,0.6153846153846154,0.7940199335548173,3.2168327078101524,0.727685899971488,0.6576895818568391,0.5284552845528455,0.6050841389187254,0.6708860759493671,0.7124183006535948,0.5758928571428571,0.5693430656934306,178.779999,1.0,0
2011_4,McDonalds,2.4754098360655736,0.4918032786885245,0.14634146341463414,0.12903225806451613,0.19672131147540986,0.4230769230769231,0.5,0.38461538461538464,0.059800664451827246,2.9262295081967213,0.4764865240344543,0.041105598866052445,0.024390243902439025,0.4262295081967213,0.027848101265822784,0.04139433551198257,0.08035714285714286,0.0364963503649635,99.050003,1.0,0
2019_3,McDonalds,1.7301038062283738,0.24336793540945792,0.7024390243902439,0.967741935483871,0.31141868512110726,0.4230769230769231,0.6153846153846154,0.6666666666666666,0.6843853820598007,3.2630994636206863,0.7676791973670343,0.9496810772501771,0.959349593495935,0.7614792752544055,0.9291139240506329,0.9302832244008714,0.8125,0.9416058394160584,196.699997,1.0,0
2019_2,McDonalds,1.752851711026616,0.2509505703422053,0.6390243902439025,0.8387096774193549,0.2965779467680609,0.4230769230769231,0.6923076923076923,0.6410256410256411,0.6079734219269103,3.2955533465434463,0.795732553791793,1.0,1.0,0.7538896746817539,1.0,1.0,0.8660714285714286,0.8613138686131386,210.720001,1.0,0
2019_1,McDonalds,1.8178438661710037,0.2726146220570012,0.6536585365853659,1.0,0.34572490706319703,0.46153846153846156,0.7692307692307693,0.5128205128205128,0.6179401993355482,3.2517301504098803,0.757851485947524,0.8299078667611623,0.7723577235772358,0.7013060760931288,0.8354430379746836,0.8235294117647058,0.7366071428571429,0.7956204379562044,197.570007,1.0,0
2008_2,McDonalds,2.44,0.48,0.05853658536585366,0.12903225806451613,0.48000000000000004,0.038461538461538464,0.23076923076923078,0.1282051282051282,0.029900332225913623,2.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,59.790001,1.0,0
2008_3,McDonalds,2.342857142857143,0.44761904761904764,0.08292682926829269,0.03225806451612903,0.08571428571428572,0.19230769230769232,0.38461538461538464,0.20512820512820512,0.036544850498338874,3.3720238095238098,0.861834140435836,0.007795889440113395,0.008130081300813009,0.619047619047619,0.015189873417721518,0.002178649237472767,0.004464285714285714,0.014598540145985401,57.930000,1.0,0
2013_4,McDonalds,2.1616161616161618,0.3872053872053873,0.23902439024390243,0.22580645161290322,0.21212121212121213,0.38461538461538464,0.6538461538461539,0.5897435897435898,0.13953488372093023,3.0282675071407463,0.5646888621047133,0.148830616583983,0.11382113821138211,0.5696400625978091,0.12658227848101267,0.15904139433551198,0.12053571428571429,0.24087591240875914,94.169998,1.0,0
2013_1,McDonalds,2.506666666666667,0.5022222222222222,0.18048780487804877,0.16129032258064516,0.2,0.46153846153846156,0.7692307692307693,0.4358974358974359,0.06976744186046512,2.9965034965034953,0.5372318359606488,0.09142452161587526,0.044715447154471545,0.36111111111111105,0.09113924050632911,0.10021786492374728,0.10714285714285714,0.0948905109489051,102.139999,1.0,0
2013_3,McDonalds,2.4157303370786516,0.47191011235955055,0.2146341463414634,0.3225806451612903,0.33707865168539325,0.6153846153846154,0.5384615384615384,0.2564102564102564,0.12956810631229235,2.7627019392644403,0.3351321847879062,0.1339475549255847,0.08130081300813008,0.4513888888888889,0.07088607594936709,0.14814814814814814,0.20535714285714285,0.20437956204379562,96.519997,1.0,0
2013_2,McDonalds,2.1627906976744184,0.38759689922480617,0.2073170731707317,0.1935483870967742,0.20930232558139536,0.46153846153846156,0.5384615384615384,0.3076923076923077,0.13953488372093023,3.0735425288996705,0.6038248978624273,0.13678242381289865,0.08943089430894309,0.48639455782312924,0.11645569620253164,0.17647058823529413,0.13392857142857142,0.10948905109489052,98.080002,1.0,0
2010_2,McDonalds,2.7209302325581395,0.5736434108527132,0.1024390243902439,0.16129032258064516,0.3488372093023256,0.34615384615384615,0.4230769230769231,0.1282051282051282,0.04318936877076412,2.766369047619048,0.33830205811138053,0.01771793054571226,0.0040650406504065045,0.15476190476190474,0.015189873417721518,0.015250544662309368,0.04017857142857143,0.021897810218978103,69.730003,1.0,0
2010_3,McDonalds,2.723076923076923,0.5743589743589744,0.15609756097560976,0.16129032258064516,0.23076923076923078,0.6153846153846154,0.6153846153846154,0.3076923076923077,0.053156146179401995,2.96141975308642,0.5069052102950414,0.03614457831325301,0.024390243902439025,0.48148148148148145,0.02531645569620253,0.034858387799564274,0.07589285714285714,0.021897810218978103,77.769997,1.0,0
2010_1,McDonalds,2.6875,0.5625,0.11463414634146342,0.0967741935483871,0.1875,0.38461538461538464,0.5769230769230769,0.23076923076923078,0.036544850498338874,2.837009803921569,0.3993644067796615,0.021970233876683204,0.012195121951219513,0.3823529411764706,0.007594936708860759,0.030501089324618737,0.04017857142857143,0.021897810218978103,70.589996,1.0,0
2010_4,McDonalds,2.557142857142857,0.519047619047619,0.16829268292682928,0.0967741935483871,0.1285714285714286,0.7307692307692307,0.5,0.358974358974359,0.06976744186046512,3.0198412698412707,0.5574051654560139,0.027639971651311126,0.02032520325203252,0.5158730158730158,0.020253164556962026,0.02832244008714597,0.04017857142857143,0.0364963503649635,73.669998,1.0,0
2008_4,McDonalds,2.8846153846153846,0.6282051282051282,0.06097560975609756,0.1935483870967742,0.6923076923076924,0.07692307692307693,0.2692307692307692,0.1282051282051282,0.019933554817275746,3.5318627450980387,1.0,0.009922041105598866,0.008130081300813009,0.5098039215686274,0.02278481012658228,0.002178649237472767,0.013392857142857142,0.0,58.020000,1.0,0
2015_4,McDonalds,2.152439024390244,0.3841463414634146,0.3975609756097561,0.4838709677419355,0.27439024390243905,0.7692307692307693,0.8846153846153846,0.5897435897435898,0.2757475083056478,3.1581986826305006,0.6770022510873822,0.8086463501063076,0.6219512195121951,0.5795454545454546,0.8177215189873418,0.7734204793028322,0.9285714285714286,0.7518248175182481,123.779999,1.0,0
2015_3,McDonalds,2.1333333333333333,0.37777777777777777,0.4,0.6774193548387096,0.3818181818181818,0.6153846153846154,0.6153846153846154,0.5897435897435898,0.2956810631229236,3.01479789570699,0.5530456386619748,0.8164422395464209,0.5365853658536586,0.4952380952380952,0.7063291139240506,0.869281045751634,0.9196428571428571,1.0,112.250000,1.0,0
2015_2,McDonalds,1.9130434782608696,0.30434782608695654,0.33414634146341465,0.3225806451612903,0.2173913043478261,0.4230769230769231,0.7307692307692307,0.38461538461538464,0.2757475083056478,2.923173231060422,0.4738446573573143,0.7391920623671155,0.4105691056910569,0.4184193753983429,0.589873417721519,0.7690631808278867,1.0,0.9708029197080292,99.860001,1.0,0
2015_1,McDonalds,2.234234234234234,0.41141141141141135,0.2682926829268293,0.3225806451612903,0.2702702702702703,0.6923076923076923,0.4230769230769231,0.5384615384615384,0.16943521594684385,3.057230957706579,0.5897250651361957,0.593905031892275,0.4065040650406504,0.5152596115735235,0.5063291139240507,0.6514161220043573,0.6160714285714286,0.7445255474452555,96.550003,1.0,0
2012_4,McDonalds,2.0925925925925926,0.36419753086419754,0.12926829268292683,0.03225806451612903,0.05555555555555555,0.34615384615384615,0.3076923076923077,0.3076923076923077,0.07973421926910298,3.1446461538461548,0.6652873533246426,0.08646350106307583,0.04878048780487805,0.416,0.10632911392405063,0.0784313725490196,0.08928571428571429,0.0948905109489051,95.290001,1.0,0
2012_1,McDonalds,2.8088235294117645,0.6029411764705882,0.16341463414634147,0.22580645161290322,0.3088235294117647,0.6538461538461539,0.6153846153846154,0.3076923076923077,0.053156146179401995,2.7540849673202614,0.3276836158192092,0.03401842664776754,0.016260162601626018,0.3398692810457516,0.02531645569620253,0.02832244008714597,0.0625,0.058394160583941604,97.449997,1.0,0
2012_2,McDonalds,2.6052631578947367,0.5350877192982456,0.18292682926829268,0.22580645161290322,0.27631578947368424,0.6153846153846154,0.5384615384615384,0.46153846153846156,0.06976744186046512,3.0271726798275482,0.5637424859526267,0.07795889440113395,0.036585365853658534,0.34513274336283184,0.07848101265822785,0.08496732026143791,0.08928571428571429,0.08759124087591241,89.360001,1.0,0
2012_3,McDonalds,2.4074074074074074,0.46913580246913583,0.1951219512195122,0.12903225806451613,0.14814814814814814,0.6153846153846154,0.6538461538461539,0.41025641025641024,0.09302325581395349,3.06649034725958,0.5977289442413323,0.13607370659107015,0.09349593495934959,0.5111111111111111,0.1240506329113924,0.15250544662309368,0.14285714285714285,0.1386861313868613,86.800003,1.0,0
2014_4,McDonalds,1.9298245614035088,0.30994152046783624,0.275609756097561,0.25806451612903225,0.21052631578947367,0.4230769230769231,0.5384615384615384,0.3333333333333333,0.22591362126245848,2.8529829545454564,0.41317170647149637,0.31537916371367825,0.15040650406504066,0.3578869047619047,0.2430379746835443,0.3115468409586057,0.46875,0.4744525547445255,92.440002,1.0,0
