period,company,yelp_avg_rating,normalized_yelp_avg_rating,yelp_no_of_reviews,yelp_5,percentage_yelp_5,yelp_4,yelp_3,yelp_2,yelp_1,glassdoor_avg_rating,normalized_glassdoor_avg_rating,glassdoor_no_of_reviews,glassdoor_5,percentage_glassdoor_5,glassdoor_4,glassdoor_3,glassdoor_2,glassdoor_1,months_after_stock_price,stock_price_change,price_increase_or_decrease
2018_2,Nike,3.028985507246377,0.5797101449275363,0.8947368421052632,0.6944444444444444,0.6227355072463768,0.2857142857142857,0.6,0.9090909090909091,0.6285714285714286,3.8117349107915133,0.49100435582793944,0.8595505617977528,0.859375,0.6485849056603773,0.6842105263157895,0.5925925925925926,0.9333333333333333,0.5714285714285714,76.910004,1.0,0
2018_3,Nike,2.816901408450704,0.5191146881287726,0.9210526315789473,0.6111111111111112,0.5325704225352113,0.2857142857142857,0.9,0.45454545454545453,0.8285714285714286,3.6257312579893237,0.2800579883170606,0.8370786516853933,0.5,0.3870967741935484,0.7236842105263158,1.0,0.4666666666666667,0.7142857142857143,75.040001,1.0,0
2011_1,Nike,3.3333333333333335,0.6666666666666667,0.14473684210526316,0.0,0.0,0.3333333333333333,0.3,0.09090909090909091,0.02857142857142857,3.84375,0.5273126039312666,0.033707865168539325,0.015625,0.15625,0.07894736842105263,0.05555555555555555,0.0,0.0,20.580000,1.0,0
2018_1,Nike,3.310810810810811,0.6602316602316602,0.9605263157894737,0.8055555555555556,0.6735641891891893,0.6190476190476191,0.6,0.36363636363636365,0.6285714285714286,3.8999866980845233,0.5910905298107767,1.0,1.0,0.6521739130434783,0.8289473684210527,0.6666666666666666,1.0,0.5714285714285714,68.389999,1.0,0
2009_4,Nike,4.0,0.8571428571428571,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,3.5156250000000004,0.15518670319362127,0.056179775280898875,0.015625,0.1171875,0.07894736842105263,0.09259259259259259,0.13333333333333333,0.0,15.937500,1.0,0
2018_4,Nike,3.1818181818181817,0.6233766233766234,0.5657894736842105,0.4722222222222222,0.6640625,0.2857142857142857,0.3,0.36363636363636365,0.4,3.7137105318923513,0.37983510541392373,0.6460674157303371,0.59375,0.5888429752066116,0.4473684210526316,0.6111111111111112,0.6,0.7142857142857143,81.879997,1.0,0
2011_4,Nike,3.6666666666666665,0.7619047619047619,0.18421052631578946,0.1111111111111111,0.45833333333333337,0.2857142857142857,0.2,0.18181818181818182,0.02857142857142857,4.069444444444445,0.7832722181952559,0.016853932584269662,0.0625,0.8333333333333333,0.0,0.05555555555555555,0.0,0.0,25.997499,1.0,0
2019_3,Nike,2.6623376623376624,0.4749536178107607,1.0,0.5277777777777778,0.42410714285714285,0.47619047619047616,0.9,0.36363636363636365,1.0,3.8511867984759522,0.5357466620843121,0.898876404494382,0.859375,0.6212349397590362,0.6973684210526315,0.7592592592592593,0.6,0.8571428571428571,91.500000,1.0,0
2019_2,Nike,3.0,0.5714285714285714,0.7631578947368421,0.5833333333333334,0.6117584745762712,0.3333333333333333,0.6,0.09090909090909091,0.6857142857142857,3.7943576793576783,0.47129687270521986,0.8089887640449438,0.65625,0.525,0.881578947368421,0.4444444444444444,0.5333333333333333,1.0,86.029999,1.0,0
2019_1,Nike,3.245614035087719,0.6416040100250626,0.7368421052631579,0.6388888888888888,0.6935307017543859,0.3333333333333333,0.5,0.45454545454545453,0.4857142857142857,3.8289726146869003,0.5105536010507044,0.7921348314606742,0.765625,0.625,0.6447368421052632,0.5925925925925926,0.6,0.8571428571428571,87.830002,1.0,0
