,date,reviewNo,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,employeeType,location,recommend,outlook,ceo,helpful
1,None,empReview_26027964,5,5,5,5,5,5,Current Employee - Apple At Home Advisor,"Houston, TX",5,5,5,39
2,"Aug 28, 2014",empReview_4870579,4,1,3,3,3,3,Current Employee - Anonymous Employee,None,5,5,5,953
3,"Nov 3, 2019",empReview_30173037,4,3,5,4,4,4,Former Employee - Mac Genius,None,0,5,5,None
4,"Nov 1, 2019",empReview_30144210,5,5,5,5,5,5,Former Employee - Operations Specialist,"Rockville, MD",5,5,5,None
5,"Nov 1, 2019",empReview_30146057,5,4,5,4,4,5,Former Employee - Genius,None,5,5,5,None
6,"Nov 1, 2019",empReview_30144086,4,4,4,3,5,4,Former Employee - Customer Service Specialist,None,None,None,2.5,None
7,"Nov 1, 2019",empReview_30146885,4,2,4,4,4,4,Current Employee - Apple Genius,None,5,5,5,None
8,"Oct 31, 2019",empReview_30130339,5,3,2,4,2,2,Former Employee - Customer Technical Support,"Killeen, TX",None,None,None,None
9,"Oct 31, 2019",empReview_30116103,5,5,5,5,5,5,Former Employee - Sales Specialist,"Knoxville, TN",5,5,5,None
10,"Oct 29, 2019",empReview_30081387,4,3,5,4,4,3,Current Employee - Anonymous Employee,None,5,5,5,None
11,"Oct 29, 2019",empReview_30085127,4,-1,-1,-1,-1,-1,Current Employee - Anonymous Employee,None,None,None,None,None
12,"Oct 29, 2019",empReview_30088934,4,3,5,4,5,4,Current Employee - Anonymous Employee,None,5,5,5,None
13,"Oct 29, 2019",empReview_30093374,4,4,5,4,4,5,Current Employee - Financial Analyst,"Cupertino, CA",5,5,5,None
14,"Oct 28, 2019",empReview_30061428,5,4,5,4,5,4,Former Employee - Anonymous Employee,"Sunnyvale, CA",5,5,5,None
15,"Oct 29, 2019",empReview_30071494,5,5,5,5,5,5,Current Employee - Anonymous Employee,"Honolulu, HI",5,5,2.5,None
16,"Oct 28, 2019",empReview_30065064,4,5,4,5,5,3,Former Employee - Anonymous Employee,"Novi, MI",5,5,5,None
17,"Oct 28, 2019",empReview_30066082,4,3,4,5,4,4,Current Employee - Anonymous Employee,None,5,5,5,None
18,"Oct 26, 2019",empReview_30035638,5,4,5,5,4,5,Current Employee - Specialist,"Palo Alto, CA",5,5,5,None
19,"Oct 27, 2019",empReview_30040503,4,-1,-1,-1,-1,-1,Current Employee - Anonymous Employee,None,None,None,None,None
20,"Oct 25, 2019",empReview_30024476,5,5,5,5,5,5,Current Employee - Anonymous Employee,"Smithtown, NY",5,5,5,None
21,"Oct 25, 2019",empReview_30026085,5,-1,-1,-1,-1,-1,Current Employee - Anonymous Employee,None,None,None,None,None
22,"Oct 26, 2019",empReview_30031371,4,4,5,5,5,3,Former Employee - Anonymous Employee,"Greenville, SC",5,5,5,None
23,"Oct 24, 2019",empReview_30002919,4,3,4,4,4,-1,Current Employee - Specialist,None,5,5,2.5,None
24,"Oct 25, 2019",empReview_30016432,4,-1,-1,-1,-1,-1,Former Employee - Anonymous Employee,None,5,None,None,None
25,"Oct 23, 2019",empReview_29985719,5,-1,-1,-1,-1,-1,Former Employee - Technical Specialist,None,None,None,None,None
26,"Oct 23, 2019",empReview_29989252,5,5,5,5,5,5,Former Employee - College Advisor,None,5,5,5,None
27,"Oct 22, 2019",empReview_29967541,5,-1,-1,-1,-1,-1,Former Employee - Business Analyst,None,None,None,None,None
28,"Oct 22, 2019",empReview_29967985,5,4,5,4,4,5,Current Employee - Specialist,"Santa Clara, CA",5,5,5,None
29,"Oct 22, 2019",empReview_29964334,4,-1,-1,-1,-1,-1,Former Employee - AppleCare Senior Advisor,None,5,5,5,None
30,"Oct 22, 2019",empReview_29968116,4,2,5,3,4,5,Current Employee - Human Resources Business Partner,"Cupertino, CA",5,5,5,None
31,"Oct 21, 2019",empReview_29940358,5,-1,-1,-1,-1,-1,Current Employee - Specialist,None,None,None,None,None
32,"Oct 21, 2019",empReview_29946390,4,4,5,4,5,3,Current Employee - Producer,None,5,5,5,None
33,"Oct 22, 2019",empReview_29951565,4,4,5,3,5,4,Current Employee - IOS Technical Support Advisor,"Miami, FL",5,5,5,None
34,"Oct 20, 2019",empReview_29916041,4,5,5,4,5,5,Former Employee - Product Specialist,None,5,None,2.5,None
35,"Oct 20, 2019",empReview_29921901,4,3,5,4,4,4,Current Employee - Software Engineer,"Austin, TX",5,5,5,None
36,"Oct 20, 2019",empReview_29915194,5,-1,-1,-1,-1,-1,Current Employee - Advisor,None,None,None,None,None
37,"Oct 15, 2019",empReview_29830716,5,4,5,3,5,5,Current Employee - At-Home Advisor,"Austin, TX",5,5,5,1
38,"Oct 15, 2019",empReview_29817863,5,5,5,5,5,3,Current Employee - Specialist,"Garden City, NY",5,5,5,1
39,"Oct 15, 2019",empReview_29818484,5,5,5,4,5,5,Current Employee - Specialist,"New York, NY",5,5,5,1
40,"Oct 18, 2019",empReview_29898329,4,2,4,4,4,4,Current Employee - Expert,None,5,5,5,None
41,"Nov 1, 2019",empReview_30144075,3,2,5,3,5,5,Former Employee - Technical Specialist,None,None,None,2.5,None
42,"Nov 2, 2019",empReview_30155071,3,4,5,3,2,3,Current Employee - Senior Program Manager,"Cupertino, CA",5,5,5,None
43,"Oct 15, 2019",empReview_29825558,4,2,5,4,4,3,Current Employee - Mac Genius,"New York, NY",5,None,5,1
44,"Oct 17, 2019",empReview_29872248,5,3,5,3,5,4,Former Employee - Genius,None,5,2.5,5,None
