,date,reviewNo,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,employeeType,location,recommend,outlook,ceo,helpful
1,None,empReview_25257856,5.0,5.0,5.0,-1,5.0,-1,Current Employee - Sales Associate,None,Recommends,Positive Outlook,Approves of CEO,3
2,"Oct 24, 2019",empReview_30010039,4.0,5.0,5.0,3.0,4.0,4.0,Current Employee - Anonymous Employee,"Natick, MA",Recommends,None,Approves of CEO,None
3,"Oct 22, 2019",empReview_29966861,5.0,3.0,5.0,2.0,3.0,3.0,Current Employee - Sales Associate,None,None,None,None,None
4,"Oct 22, 2019",empReview_29960500,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Visual Merchandiser,"Staten Island, NY",Recommends,Positive Outlook,Approves of CEO,None
5,"Oct 21, 2019",empReview_29943450,4.0,5.0,5.0,5.0,4.0,5.0,Current Employee - Customer Service Representative,"Rocklin, CA",Recommends,Neutral Outlook,Approves of CEO,None
6,"Oct 19, 2019",empReview_29907425,5.0,5.0,5.0,5.0,4.0,4.0,Former Employee - Senior Manager,"San Francisco, CA",Recommends,Positive Outlook,Approves of CEO,None
7,"Oct 17, 2019",empReview_29871794,5.0,-1,-1,-1,-1,-1,Former Employee - Sales Associate,None,None,None,None,None
8,"Oct 15, 2019",empReview_29830728,4.0,2.0,4.0,4.0,1.0,3.0,Former Employee - Visual Specialist,None,Recommends,Neutral Outlook,No opinion of CEO,None
9,"Oct 11, 2019",empReview_29750352,4.0,4.0,4.0,4.0,4.0,4.0,Former Employee - Store Manager,"Chicago, IL",Recommends,Positive Outlook,Approves of CEO,None
10,"Oct 8, 2019",empReview_29688009,4.0,3.0,5.0,3.0,1.0,2.0,Current Employee - Sales Associate,None,None,None,None,None
11,"Oct 7, 2019",empReview_29667050,5.0,4.0,5.0,2.0,2.0,5.0,Current Employee - Sales Associate,"Houston, TX",Recommends,Positive Outlook,No opinion of CEO,None
12,"Oct 5, 2019",empReview_29639593,5.0,-1,-1,-1,-1,-1,Former Employee - Sales Associate,"Southlake, TX",Recommends,None,None,None
13,"Oct 21, 2019",empReview_29939097,2.0,2.0,2.0,2.0,3.0,2.0,Former Employee - Sales Associate,"New York, NY",None,None,None,None
14,"Oct 4, 2019",empReview_29629134,4.0,-1,-1,-1,-1,-1,Former Employee - Sales,None,None,None,None,None
