,date,reviewNo,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,employeeType,location,recommend,outlook,ceo,helpful
1,None,empReview_29391826,5.0,3.0,2.0,2.0,5.0,3.0,Current Employee - Customer Service Representative,"Tempe, AZ",5,5,2.5,None
2,"Nov 2, 2019",empReview_30159727,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Seasonal Cashier,"Woodstock, GA",5,None,None,None
3,"Nov 2, 2019",empReview_30162017,4.0,4.0,3.0,3.0,4.0,4.0,Current Employee - Customer Service Representative,"Ogden, UT",5,5,2.5,None
4,"Nov 2, 2019",empReview_30153237,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Bilingual Customer Service Representative,"Winter Haven, FL",5,2.5,5,None
5,"Nov 1, 2019",empReview_30142863,4.0,3.0,4.0,3.0,4.0,3.0,Former Employee - Associate,"Virginia Beach, VA",5,5,0,None
6,"Nov 1, 2019",empReview_30146804,4.0,4.0,5.0,4.0,4.0,4.0,Current Employee - Cashier,"Folsom, PA",5,5,5,None
7,"Nov 1, 2019",empReview_30148444,4.0,4.0,5.0,5.0,5.0,4.0,Former Employee - Customer Service Representative,"Kennesaw, GA",5,5,None,None
8,"Nov 1, 2019",empReview_30150555,4.0,-1,-1,-1,-1,-1,Current Employee - Cashier,None,None,None,None,None
9,"Nov 1, 2019",empReview_30139222,4.0,4.0,5.0,3.0,4.0,3.0,Current Employee - Customer Service Associate,"Carolina, PR",5,5,5,None
10,"Oct 30, 2019",empReview_30104118,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Sales Associate,None,None,None,None,None
11,"Oct 30, 2019",empReview_30109206,4.0,-1,-1,-1,-1,-1,Current Employee - Home Depot Sales Associate,None,None,None,None,None
12,"Oct 29, 2019",empReview_30085165,4.0,-1,-1,-1,-1,-1,Former Employee - Anonymous Employee,None,None,None,None,None
13,"Oct 29, 2019",empReview_30090500,4.0,3.0,3.0,4.0,4.0,4.0,Former Employee - MET Supervisor,"Atlanta, GA",0,0,0,None
14,"Oct 28, 2019",empReview_30070959,5.0,4.0,5.0,5.0,5.0,5.0,Current Employee - Anonymous Employee,None,5,5,5,None
15,"Oct 28, 2019",empReview_30060497,4.0,4.0,4.0,4.0,4.0,4.0,Current Employee - Anonymous Employee,"Campbell, CA",5,2.5,2.5,None
16,"Oct 28, 2019",empReview_30066907,4.0,4.0,4.0,3.0,3.0,4.0,Former Employee - Anonymous Employee,"Wisconsin Rapids, WI",5,5,5,None
17,"Oct 29, 2019",empReview_30076702,4.0,4.0,5.0,5.0,5.0,4.0,Current Employee - Anonymous Employee,"Naples, FL",5,5,5,None
18,"Oct 28, 2019",empReview_30053089,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Anonymous Employee,"Troy, MI",5,5,5,None
19,"Oct 20, 2019",empReview_29915379,5.0,4.0,4.0,3.0,3.0,5.0,Former Employee - Freight Team Associate,"Bonita Springs, FL",None,None,None,2
20,"Oct 26, 2019",empReview_30036989,5.0,-1,-1,-1,-1,-1,Current Employee - Anonymous Employee,None,None,None,None,None
21,"Oct 22, 2019",empReview_29968011,5.0,-1,-1,-1,-1,-1,Current Employee - Anonymous Employee,None,None,None,None,1
22,"Oct 26, 2019",empReview_30036552,4.0,5.0,5.0,2.0,4.0,5.0,Former Employee - Anonymous Employee,"Champaign, IL",5,5,2.5,None
23,"Oct 25, 2019",empReview_30027387,5.0,4.0,4.0,5.0,2.0,4.0,Former Employee - Anonymous Employee,None,5,5,5,None
24,"Oct 25, 2019",empReview_30018374,5.0,4.0,5.0,4.0,3.0,5.0,Current Employee - Anonymous Employee,None,5,5,5,None
25,"Oct 24, 2019",empReview_30004189,4.0,5.0,5.0,4.0,1.0,5.0,Former Employee - Merchandiser,"South Miami, FL",5,5,5,None
26,"Oct 24, 2019",empReview_30010445,4.0,-1,-1,-1,-1,-1,Current Employee - Anonymous Employee,None,None,None,None,None
27,"Oct 25, 2019",empReview_30015464,4.0,4.0,4.0,4.0,4.0,3.0,Former Employee - Anonymous Employee,"Atlanta, GA",5,5,5,None
28,"Oct 23, 2019",empReview_29980320,5.0,5.0,5.0,4.0,5.0,5.0,Current Employee - Asset Protection Specialist,None,5,5,5,None
29,"Oct 23, 2019",empReview_29989741,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Warehouse Associate,"McHenry, IL",5,5,5,None
30,"Oct 23, 2019",empReview_29983055,4.0,5.0,4.0,4.0,3.0,4.0,Former Employee - Software Engineer(Internship),None,None,None,None,None
31,"Oct 24, 2019",empReview_29993491,4.0,4.0,5.0,5.0,3.0,5.0,Current Employee - Sales Associate,"Apex, NC",5,5,5,None
32,"Oct 20, 2019",empReview_29917616,4.0,4.0,5.0,3.0,2.0,5.0,Current Employee - Sales Specialist Flooring,"North Little Rock, AR",5,5,5,1
33,"Oct 21, 2019",empReview_29942530,5.0,5.0,5.0,5.0,3.0,5.0,Former Employee - Cashier,None,None,None,None,None
34,"Oct 21, 2019",empReview_29938776,4.0,3.0,5.0,3.0,4.0,3.0,Current Employee - Tool Rental Technician,"Spokane, WA",5,5,5,None
35,"Oct 21, 2019",empReview_29931350,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Forklift Operator,"Fayetteville, GA",5,5,5,None
36,"Oct 20, 2019",empReview_29915115,4.0,-1,-1,-1,-1,-1,Current Employee - Pro Sales Associate,None,None,None,None,None
37,"Oct 20, 2019",empReview_29921304,4.0,4.0,5.0,4.0,3.0,1.0,Former Employee - Department Supervisor,"Mobile, AL",5,5,5,None
38,"Oct 20, 2019",empReview_29911026,5.0,4.0,5.0,5.0,5.0,3.0,Current Employee - Pro Desk Assistant,"Atlanta, GA",5,5,5,None
39,"Oct 20, 2019",empReview_29914534,5.0,-1,-1,-1,-1,-1,Current Employee - Sales Associate,None,None,None,None,None
40,"Oct 19, 2019",empReview_29908562,4.0,5.0,5.0,5.0,1.0,5.0,Former Employee - Pro Account Sales Associate,None,5,5,2.5,None
41,"Nov 2, 2019",empReview_30161123,3.0,5.0,5.0,2.0,4.0,2.0,Current Employee - Associate Support Department Supervisor,"Phenix City, AL",0,5,0,None
42,"Oct 18, 2019",empReview_29894008,5.0,3.0,4.0,4.0,5.0,3.0,Former Employee - Pro Account Sales Associate,"Salt Lake City, UT",5,5,5,None
43,"Oct 18, 2019",empReview_29897724,4.0,2.0,4.0,3.0,4.0,2.0,Former Employee - Assistant Manager,"Menomonee Falls, WI",5,5,5,None
44,"Oct 31, 2019",empReview_30122951,3.0,2.0,3.0,2.0,2.0,1.0,Current Employee - Department Supervisor,None,None,None,None,1
45,"Oct 17, 2019",empReview_29871607,4.0,3.0,5.0,4.0,4.0,3.0,Current Employee - Department Supervisor,"Little Rock, AR",5,5,5,None
46,"Oct 16, 2019",empReview_29847509,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Cashier,"Watsonville, CA",5,None,5,None
47,"Oct 16, 2019",empReview_29847989,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Assistant Department Manager,"Orange Park, FL",5,5,5,None
48,"Oct 16, 2019",empReview_29847412,4.0,5.0,5.0,2.0,3.0,4.0,Former Employee - Cashier,"Grand Prairie, TX",5,None,None,None
49,"Oct 16, 2019",empReview_29847390,4.0,-1,-1,-1,-1,-1,Former Employee - Customer Service Associate,None,None,None,None,None
50,"Oct 16, 2019",empReview_29856884,4.0,4.0,4.0,4.0,4.0,3.0,Current Employee - Product Manager,None,5,5,5,None
51,"Oct 30, 2019",empReview_30111045,3.0,3.0,4.0,3.0,3.0,2.0,Current Employee - Merchandise Analyst,"Atlanta, GA",5,5,5,None
52,"Oct 31, 2019",empReview_30121727,3.0,2.0,3.0,4.0,3.0,2.0,Former Employee - Cashier,"Wadsworth, OH",5,5,2.5,None
53,"Oct 15, 2019",empReview_29830491,5.0,5.0,5.0,5.0,3.0,5.0,Current Employee - Software Engineer,"Marietta, GA",5,5,5,None
54,"Oct 15, 2019",empReview_29829155,4.0,-1,-1,-1,-1,-1,Current Employee - Customer Service Associate,None,None,None,None,None
55,"Oct 16, 2019",empReview_29841405,4.0,4.0,4.0,3.0,3.0,3.0,Current Employee - Sales Associate,"Atlanta, GA",5,5,5,None
56,"Oct 27, 2019",empReview_30048156,3.0,-1,-1,-1,-1,-1,Former Employee - Anonymous Employee,None,None,None,None,1
57,"Oct 29, 2019",empReview_30086968,3.0,4.0,3.0,2.0,2.0,3.0,Former Employee - Anonymous Employee,None,None,2.5,2.5,None
58,"Oct 30, 2019",empReview_30099846,3.0,3.0,2.0,2.0,3.0,2.0,Former Employee - Cashier,None,None,None,2.5,None
59,"Oct 15, 2019",empReview_29816808,5.0,5.0,5.0,5.0,4.0,5.0,Current Employee - Cashier,"Newburgh, NY",5,5,None,None
60,"Oct 29, 2019",empReview_30089803,2.0,1.0,2.0,1.0,2.0,1.0,Current Employee - Associate,None,0,0,0,None
61,"Oct 14, 2019",empReview_29800256,4.0,3.0,4.0,3.0,5.0,5.0,Former Employee - Tool Service Technician,None,5,5,2.5,None
62,"Oct 14, 2019",empReview_29801888,4.0,5.0,4.0,3.0,3.0,4.0,Current Employee - Delivery Associate,"Albany, OR",5,5,2.5,None
63,"Oct 14, 2019",empReview_29805822,4.0,-1,-1,-1,-1,-1,Former Employee - Sales Associate/Cashier,None,None,None,None,None
64,"Oct 14, 2019",empReview_29809009,4.0,5.0,5.0,3.0,4.0,4.0,Current Employee - Freight Team Associate,None,5,5,5,None
65,"Oct 15, 2019",empReview_29811747,4.0,5.0,3.0,3.0,5.0,-1,Current Employee - Retail Sales Associate,"Lake Park, FL",5,5,2.5,None
66,"Oct 13, 2019",empReview_29783551,5.0,3.0,4.0,5.0,5.0,3.0,Current Employee - Sales Associate,"College Station, TX",5,5,0,None
67,"Oct 13, 2019",empReview_29784767,5.0,4.0,5.0,5.0,4.0,5.0,Current Employee - Appliance Sales Associate,"Hammond, LA",5,5,5,None
68,"Oct 14, 2019",empReview_29792615,5.0,-1,-1,-1,-1,-1,Current Employee - Merchandiser,None,None,None,None,None
69,"Oct 14, 2019",empReview_29794069,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Freight Associate/Trainer,None,5,5,5,None
70,"Oct 28, 2019",empReview_30062730,2.0,5.0,4.0,2.0,4.0,3.0,Former Employee - Anonymous Employee,"Atlanta, GA",0,2.5,2.5,None
71,"Oct 13, 2019",empReview_29780002,4.0,4.0,4.0,4.0,4.0,4.0,Current Employee - Sales Specialist Flooring,"Burbank, CA",0,5,5,None
72,"Oct 27, 2019",empReview_30047144,3.0,2.0,4.0,4.0,3.0,2.0,Former Employee - Anonymous Employee,"Scottsdale, AZ",0,2.5,None,None
73,"Oct 28, 2019",empReview_30057144,3.0,2.0,5.0,2.0,4.0,5.0,Former Employee - Anonymous Employee,None,5,2.5,2.5,None
74,"Oct 28, 2019",empReview_30058107,3.0,3.0,4.0,2.0,3.0,2.0,Current Employee - Anonymous Employee,None,None,None,None,None
75,"Oct 12, 2019",empReview_29770373,5.0,3.0,5.0,5.0,5.0,5.0,Former Employee - Customer Service,"Oklahoma City, OK",5,5,5,None
76,"Oct 13, 2019",empReview_29779734,5.0,-1,-1,-1,-1,-1,Former Employee - Associate,None,None,None,None,None
77,"Oct 13, 2019",empReview_29779837,5.0,4.0,5.0,5.0,4.0,4.0,Current Employee - Anonymous Employee,None,5,5,5,None
