,date,reviewNo,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,employeeType,location,recommend,outlook,ceo,helpful
1,None,empReview_27273749,5.0,4.0,5.0,4.0,4.0,5.0,Current Employee - Team Lead,"Salt Lake City, UT",Recommends,None,None,8
2,"Oct 22, 2019",empReview_29968825,4.0,4.0,5.0,4.0,4.0,3.0,Former Employee - Sales Associate,"Miami, FL",Doesn't Recommend,Neutral Outlook,No opinion of CEO,2
3,"Oct 20, 2019",empReview_29914091,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Beauty Advisor,"Fairview Heights, IL",Recommends,Positive Outlook,Approves of CEO,2
4,"Oct 24, 2019",empReview_30004191,4.0,-1,-1,-1,-1,-1,Former Employee - Anonymous Employee,None,None,None,None,1
5,"Oct 24, 2019",empReview_30006031,4.0,5.0,3.0,5.0,5.0,3.0,Former Employee - Cashiering,"Murray, UT",Recommends,Neutral Outlook,No opinion of CEO,None
6,"Oct 21, 2019",empReview_29941417,5.0,4.0,-1,4.0,4.0,-1,Former Employee - Sales Associate,"Honolulu, HI",Recommends,None,None,None
7,"Oct 22, 2019",empReview_29957847,5.0,-1,-1,-1,-1,-1,Former Employee - Sales Associate,None,None,None,None,None
8,"Oct 21, 2019",empReview_29946164,4.0,3.0,5.0,3.0,3.0,3.0,Former Employee - Visual Merchandiser,"Palo Alto, CA",Recommends,Neutral Outlook,No opinion of CEO,None
9,"Oct 21, 2019",empReview_29940796,4.0,4.0,2.0,3.0,3.0,4.0,Current Employee - Cosmetics Sales Associate,"Indianapolis, IN",Recommends,None,Approves of CEO,None
10,"Oct 16, 2019",empReview_29842689,4.0,5.0,3.0,4.0,2.0,1.0,Former Employee - Sales Representative,None,Recommends,Negative Outlook,Disapproves of CEO,None
11,"Oct 16, 2019",empReview_29846449,4.0,5.0,5.0,4.0,4.0,4.0,Former Employee - Beauty Advisor,"Roseville, CA",None,None,None,None
12,"Oct 16, 2019",empReview_29847666,4.0,5.0,4.0,4.0,4.0,4.0,Current Employee - Digital Marketing Assistant,None,Recommends,Positive Outlook,No opinion of CEO,None
13,"Oct 16, 2019",empReview_29850949,4.0,4.0,4.0,4.0,3.0,3.0,Former Employee - Meal & Break Coverage,None,None,None,None,None
14,"Oct 14, 2019",empReview_29806576,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Seasonal Sales Associate,"New York, NY",Recommends,Positive Outlook,Approves of CEO,None
15,"Oct 15, 2019",empReview_29814503,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Senior Compensation Analyst,"Springdale, OH",Recommends,Positive Outlook,Approves of CEO,None
16,"Oct 15, 2019",empReview_29819152,4.0,4.0,4.0,4.0,4.0,4.0,Former Employee - Retail Sales Associate,None,Recommends,Positive Outlook,Approves of CEO,None
17,"Oct 15, 2019",empReview_29814503,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Senior Compensation Analyst,"Springdale, OH",Recommends,Positive Outlook,Approves of CEO,None
18,"Oct 15, 2019",empReview_29820286,4.0,4.0,5.0,4.0,4.0,5.0,Current Employee - Sales Associaate,"Vernon Hills, IL",Recommends,Positive Outlook,Approves of CEO,None
19,"Oct 14, 2019",empReview_29794021,5.0,1.0,5.0,3.0,4.0,4.0,Current Employee - Store Director,None,None,None,None,None
20,"Oct 14, 2019",empReview_29801540,4.0,-1,-1,-1,-1,-1,Former Employee - Retail Sales Associate,"Springfield, PA",None,None,None,None
