,date,reviewNo,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,employeeType,location,recommend,outlook,ceo,helpful
1,None,empReview_24695520,5.0,3.0,5.0,5.0,3.0,5.0,Former Employee - Crew,"Chicago, IL",5,2.5,2.5,None
2,"Nov 3, 2019",empReview_30172966,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Clerk,"Chicago, IL",5,5,5,None
3,"Nov 3, 2019",empReview_30172783,4.0,2.0,4.0,4.0,4.0,4.0,Current Employee - Area Supervisor,"Atlanta, GA",0,5,2.5,None
4,"Nov 3, 2019",empReview_30168733,5.0,3.0,3.0,3.0,3.0,3.0,Current Employee - Crew,"Phoenix, AZ",5,5,5,None
5,"Nov 3, 2019",empReview_30168874,4.0,-1,-1,-1,-1,-1,Former Employee - Crew Member,None,None,None,None,None
6,"Nov 2, 2019",empReview_30157559,4.0,3.0,2.0,4.0,4.0,2.0,Current Employee - Crew Trainer,"Paw Paw, MI",None,2.5,2.5,None
7,"Oct 31, 2019",empReview_30135501,5.0,2.0,4.0,4.0,5.0,3.0,Former Employee - Staff,"Watertown, SD",None,None,None,None
8,"Nov 1, 2019",empReview_30142641,5.0,5.0,4.0,5.0,4.0,4.0,Former Employee - Cook,"Fort Worth, TX",5,5,5,None
9,"Oct 31, 2019",empReview_30117363,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Cashier,"Detroit, MI",5,5,5,None
10,"Oct 31, 2019",empReview_30120807,4.0,3.0,4.0,4.0,4.0,5.0,Current Employee - Cashier,None,5,5,5,None
11,"Oct 30, 2019",empReview_30110870,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Anonymous Employee,None,5,5,5,None
12,"Oct 29, 2019",empReview_30090107,4.0,4.0,4.0,4.0,4.0,4.0,Current Employee - Sales Associate/Cashier,"North Charleston, SC",0,5,5,None
13,"Oct 29, 2019",empReview_30086602,5.0,5.0,-1,5.0,4.0,-1,Current Employee - Anonymous Employee,None,None,None,None,None
14,"Oct 29, 2019",empReview_30090035,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Crew Member,None,5,5,5,None
15,"Oct 29, 2019",empReview_30076152,4.0,4.0,5.0,2.0,3.0,2.0,Former Employee - Anonymous Employee,"Winston-Salem, NC",None,None,None,None
16,"Oct 25, 2019",empReview_30019002,4.0,4.0,4.0,5.0,3.0,4.0,Current Employee - Anonymous Employee,None,None,None,None,None
17,"Oct 23, 2019",empReview_29982635,5.0,-1,-1,-1,-1,-1,Current Employee - Chief Executive Officer,None,None,None,None,None
18,"Oct 23, 2019",empReview_29986666,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Crew Member,"Noel, MO",5,2.5,5,None
19,"Oct 22, 2019",empReview_29968885,4.0,5.0,2.0,1.0,1.0,3.0,Current Employee - Assistant Manager,"Houston, TX",None,None,None,None
20,"Oct 23, 2019",empReview_29975690,4.0,-1,-1,-1,-1,-1,Current Employee - Cashier,None,None,None,None,None
21,"Oct 22, 2019",empReview_29949557,5.0,3.0,3.0,3.0,1.0,3.0,Former Employee - Cashier,"Chicago, IL",0,2.5,5,None
22,"Oct 22, 2019",empReview_29960480,5.0,3.0,3.0,3.0,3.0,3.0,Former Employee - Cashier,"Mooresville, NC",5,5,5,None
23,"Oct 22, 2019",empReview_29965652,5.0,2.0,1.0,3.0,1.0,-1,Former Employee - Cashier,None,None,None,None,None
24,"Oct 22, 2019",empReview_29965652,5.0,2.0,1.0,3.0,1.0,-1,Former Employee - Cashier,None,None,None,None,None
25,"Oct 22, 2019",empReview_29953187,4.0,-1,-1,-1,-1,-1,Former Employee - Floor Supervisor,"San Antonio, TX",None,None,None,None
26,"Oct 22, 2019",empReview_29954740,4.0,-1,-1,-1,-1,-1,Current Employee - Mcdonalds Crew Member,None,None,None,None,None
27,"Oct 22, 2019",empReview_29954748,4.0,5.0,5.0,5.0,3.0,4.0,Current Employee - Crew Member,"Camby, IN",5,5,5,None
28,"Oct 22, 2019",empReview_29956558,4.0,2.0,4.0,3.0,2.0,5.0,Former Employee - Sandwich Maker/Cashier,None,5,2.5,None,None
29,"Oct 20, 2019",empReview_29921676,5.0,-1,-1,-1,-1,-1,Current Employee - Crew Worker,None,None,None,None,None
30,"Oct 20, 2019",empReview_29923189,5.0,-1,-1,-1,-1,-1,Current Employee - Manager,None,None,None,None,None
31,"Oct 21, 2019",empReview_29941990,5.0,-1,-1,-1,-1,-1,Former Employee - Line Cook,None,None,None,None,None
32,"Oct 21, 2019",empReview_29939612,4.0,5.0,5.0,4.0,4.0,3.0,Former Employee - Shift Manager,"Naperville, IL",5,5,5,None
33,"Oct 20, 2019",empReview_29918908,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Cashier,"Miami Springs, FL",5,5,5,None
34,"Nov 3, 2019",empReview_30162626,3.0,-1,-1,-1,-1,-1,Current Employee - Crew Member,"Cheyenne, WY",0,2.5,2.5,None
