,date,reviewNo,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,employeeType,location,recommend,outlook,ceo,helpful
1,"Oct 24, 2019",empReview_30007453,5.0,-1,-1,-1,-1,-1,Current Employee - Anonymous Employee,None,None,None,None,None
2,"Oct 23, 2019",empReview_29979345,5.0,-1,-1,-1,-1,-1,,None,None,None,None,None
3,"Oct 21, 2019",empReview_29930610,5.0,-1,-1,-1,-1,-1,,None,None,None,None,None
4,"Oct 21, 2019",empReview_29935060,5.0,5.0,5.0,5.0,3.0,4.0,Former Employee - Athlete,"Niagara Falls, NY",Recommends,Positive Outlook,No opinion of CEO,None
5,"Oct 21, 2019",empReview_29940634,4.0,3.0,4.0,3.0,2.0,2.0,Former Employee - Cashier,None,None,None,None,None
6,"Oct 13, 2019",empReview_29786313,5.0,3.0,5.0,2.0,3.0,4.0,Current Employee - Sales Associate,"Santa Monica, CA",Recommends,Neutral Outlook,No opinion of CEO,None
7,"Oct 14, 2019",empReview_29802581,5.0,5.0,5.0,5.0,5.0,4.0,Current Employee - Maintenance Technician,"Saint Charles, MO",Recommends,Positive Outlook,Approves of CEO,None
8,"Oct 10, 2019",empReview_29745405,5.0,-1,-1,-1,-1,-1,Former Employee - Retail Consultant,None,Recommends,None,None,None
9,"Oct 11, 2019",empReview_29753421,4.0,4.0,4.0,2.0,5.0,3.0,Current Employee - Sales Athlete,None,Recommends,None,Approves of CEO,None
10,"Oct 10, 2019",empReview_29730356,4.0,-1,-1,-1,-1,-1,Current Employee - Technical Developer,None,None,None,None,None
11,"Oct 4, 2019",empReview_29628222,5.0,5.0,5.0,4.0,3.0,4.0,Former Employee - Senior District Administrative,None,Recommends,Positive Outlook,Approves of CEO,1
12,"Oct 8, 2019",empReview_29694847,4.0,5.0,5.0,3.0,5.0,3.0,Current Employee - Designer,"Beaverton, OR",Recommends,Positive Outlook,Approves of CEO,None
13,"Oct 9, 2019",empReview_29712949,4.0,-1,-1,-1,-1,-1,Former Employee - Market Research Analyst,None,None,None,None,None
