Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,42.990002,43.270000,40.279999,41.259998,28.821947,125399300
2005-02-01,41.200001,42.990002,38.880001,40.020000,27.955761,134241800
2005-03-01,40.049999,40.270000,37.439999,38.240002,26.712349,171584800
2005-04-01,38.400002,38.750000,34.560001,35.369999,24.769634,175448400
2005-05-01,35.669998,40.340000,35.540001,39.349998,27.556837,165217800
2005-06-01,39.200001,40.930000,38.150002,38.900002,27.241703,140214700
2005-07-01,39.180000,43.980000,38.610001,43.509998,30.546545,148971100
2005-08-01,43.209999,43.389999,39.139999,40.320000,28.306986,188347600
2005-09-01,40.700001,42.040001,37.139999,38.139999,26.842710,201857000
2005-10-01,38.150002,41.470001,37.480000,41.040001,28.883707,212047300
2005-11-01,41.000000,43.270000,40.349998,41.779999,29.404524,188661700
2005-12-01,41.840000,42.790001,40.419998,40.480000,28.558142,123216400
2006-01-01,40.389999,43.200001,39.650002,40.549999,28.607536,190368300
2006-02-01,40.450001,43.000000,38.500000,42.150002,29.736320,169723200
2006-03-01,42.150002,43.950001,40.279999,42.299999,29.842138,192419800
2006-04-01,42.380001,42.930000,39.500000,39.930000,28.271584,142636300
2006-05-01,40.150002,41.610001,37.299999,38.119999,26.990046,264997600
2006-06-01,37.950001,38.799999,35.630001,35.790001,25.340349,297879600
2006-07-01,35.860001,35.980000,32.849998,34.709999,24.674482,294513800
2006-08-01,34.500000,35.220001,33.070000,34.290001,24.375916,284655800
2006-09-01,34.299999,37.650002,33.750000,36.270000,25.783449,245905100
2006-10-01,36.180000,38.240002,35.549999,37.330002,26.652378,268215200
2006-11-01,37.500000,38.849998,35.770000,37.970001,27.109322,355710000
2006-12-01,39.099998,40.369999,38.180000,40.160000,28.845577,323271600
2007-01-01,41.299999,41.840000,39.060001,40.740002,29.262163,316367900
2007-02-01,40.770000,42.009998,39.290001,39.590000,28.436150,258092400
2007-03-01,39.169998,39.650002,36.349998,36.740002,26.389099,326396300
2007-04-01,36.669998,39.689999,36.599998,37.869999,27.359936,250809800
2007-05-01,38.150002,39.619999,37.900002,38.869999,28.082409,276299900
2007-06-01,39.099998,41.189999,37.349998,39.349998,28.429182,370787500
2007-07-01,39.549999,41.009998,36.720001,37.169998,27.006874,417546100
2007-08-01,36.939999,38.540001,31.850000,38.310001,27.835190,769305600
2007-09-01,37.209999,37.369999,32.369999,32.439999,23.721590,515270200
